yazi,Open selected file,o,o
yazi,Show file info,TAB,TAB
yazi,Copy selected files,y,y
yazi,Cut selected files,x,x
yazi,Paste files,p,p
yazi,Overwrite paste,P,P
yazi,Cancel copy,Y,Y
yazi,Cancel cut,X,X
yazi,Trash selected files,d,d
yazi,Permanently delete,D,D
yazi,Rename selected file(s),r,r
yazi,Toggle hidden files,.,.
yazi,Run shell command,;,;
yazi,Run blocking shell command,:,:
yazi,Symlink absolute path,-,-
yazi,Symlink relative path,_,_
yazi,Hardlink,CTRL+-,CMD+-
yazi,Copy file path,cc,cc
yazi,Copy dir path,cd,cd
yazi,Copy filename,cf,cf
yazi,Copy filename without extension,cn,cn
yazi,Filter files,f,f
yazi,Find next file,/,/
yazi,Find prev file,?,?
yazi,Next match,n,n
yazi,Prev match,N,N
yazi,Search files by name using fd,s,s
yazi,Search files by content using ripgrep,S,S
yazi,Cancel search,CTRL+s,CMD+s
yazi,New tab,t,t
yazi,Switch to tab NUMBER,NUBMER,NUMBER
yazi,Prev tab,[,[
yazi,Next tab,],]
yazi,Swap with prev,{,{
yazi,Swap with next,},}
yazi,Close tab,CTRL+c,CMD+c
Yazi,Sort by modified time,",m",",m"
Yazi,Sort by modified time (reverse),",M",",M"
Yazi,Sort by birth time,",b",",b"
Yazi,Sort by birth time (reverse),",B",",B"
Yazi,Sort by file extension,",e",",e"
Yazi,Sort by file extension (reverse),",E",",E"
Yazi,Sort alphabetically,",a",",a"
Yazi,Sort alphabetically (reverse),",A",",A"
Yazi,Sort naturally,",n",",n"
Yazi,Sort naturally (reverse),",N",",N"
Yazi,Sort by size,",s",",s"
Yazi,Sort by size (reverse),",S",",S"
Yazi,Sort randomly,",r",",r"
